Row,FICE,Name,Postal,Indicator,Average Math SAT Score,Average Verbal SAT Score,Average Combined SAT Score,Average ACT Score,First Quartile Math SAT,Third Quarter Math SAT,First Quartile Verbal SAT,Third Quartile Verbal SAT,First Quartile ACT,Third Quartile ACT,Number of Applications Received,Number of Applicants Accepted,Number of New Students Enrolled,Top 10 percent HS,Top 25 percent HS,Number of Fulltime Undergrad,Number of Parttime Undergrad,In-State Tuition,Out-State Tuition,Room and Board Costs,Room Costs,Board Costs,Additional Fees,Estimated Book Costs,Estimated Personal Spending,Percent of Faculty with Ph.D,Percent of Faculty with Terminal Degree,Student Faculty Ratio,Percent Alumni Donate,Instructional Expenditure per Student,Graduation Rate
1,1061,Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,16,44,249,869,7560,7560,4120,1620,2500,130,800,1500,76,72,11.9,2,10922,15
2,1063,University of Alaska at Fairbanks,AK,1,499,462,961,22,NaN,NaN,NaN,NaN,NaN,NaN,1852,1427,928,NaN,NaN,3885,4519,1742,5226,3590,1800,1790,155,650,2304,67,NaN,10,8,11935,NaN
3,1065,University of Alaska Southeast,AK,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146,117,89,4,24,492,1849,1742,5226,4764,2514,2250,34,500,1162,39,51,9.5,NaN,9584,39
4,11462,University of Alaska at Anchorage,AK,1,459,422,881,20,NaN,NaN,NaN,NaN,NaN,NaN,2065,1598,1162,NaN,NaN,6209,10537,1742,5226,5120,2600,2520,114,580,1260,48,NaN,13.7,6,8046,NaN
5,1002,Alabama Agri. & Mech. Univ.,AL,1,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,14,17,2817,1920,984,NaN,NaN,3958,305,1700,3400,2550,1108,1442,155,500,850,53,53,14.3,NaN,7043,40
6,1003,Faulkner University,AL,2,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,345,320,179,NaN,27,1367,578,5600,5600,3250,1550,1700,300,350,NaN,52,56,32.8,NaN,3971,55
7,1004,University of Montevallo,AL,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,23,1351,892,570,18,78,2385,331,2220,4440,3030,NaN,NaN,124,300,600,72,72,18.9,8,5883,51
8,1005,Alabama State University,AL,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4639,3272,1278,NaN,NaN,4051,405,1500,3000,1960,1960,NaN,84,500,NaN,48,53,18.7,NaN,NaN,15
9,1009,Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,25,57,16262,1716,2100,6300,3933,NaN,NaN,NaN,600,1908,85,91,16.7,18,6642,69
10,1012,Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,67,88,1376,207,11660,11660,4325,2050,2430,120,400,900,74,79,14,34,8649,72
